"UID";"address";"agent_name";"home_div_type";"bed";"bath";"play ground";"swimming";"acre_lot";"City";"State";"Zip";"house_size";"listing _date";"listing price";"sold _date";"sold_price";"status";"population";"Brokerage Firm";"commission_in_percentage";"days_required_to_sell";"commission_in_amount"
"00Y5lAZFqR";"1527 Pine Ln";"Michael Johnson";"Residential";0;0;"N";"N";6.271;"Dayton";"Ohio";45202;1461;"2020-06-13";459338;"2020-06-20";273193;"Cancel";18834;"True Value LLC";3.2;7;0
"01gerlf4MM";"2035 Lakeview Dr";"Mary Wilson";"";3;1;"N";"N";2.627;"Toledo";"Ohio";45234;108;"2020-01-30";278749;"2020-08-21";420892;"Expire";18848;"M&M Brokerage";5.0;204;0
"0216Y2cTIC";"5729 Main St";"Elizabeth Thomas";"Residential";2;4;"Y";"N";1.58;"Columbus";"Ohio";45207;911;"2020-03-16";51616;"2021-01-16";194795;"Cancel";16145;"Right Value LLC";3.2;306;0
"034Yr7pXIb";"6278 Main St";"Jennifer Thomas";"Residential";5;1;"Y";"Y";0.043;"Cincinnati";"Ohio";45233;1460;"2021-01-20";50325;"2020-09-24";57436;"Pending";18847;"High Value LLC";3.2;118;0
"05S55hfoGS";"3850 Maple Ave";"Michael Johnson";"";0;4;"N";"N";2.462;"Cincinnati";"Ohio";45229;1063;"2020-10-25";91898;"2020-09-03";399196;"Cancel";18845;"True Value LLC";5.0;52;0
"06crdosRiH";"6124 Elm St";"Mary Thomas";"Commercial";5;4;"N";"Y";3.544;"Columbus";"Ohio";45223;587;"2020-05-13";434720;"2020-03-27";235939;"Cancel";14132;"M&M Brokerage";5.0;47;0
"06hkWQxt72";"470 Cedar Rd";"Michael Brown";"Commercial";1;3;"N";"Y";0.053;"Akron";"Ohio";45209;346;"2020-06-22";13620;"2020-01-07";45971;"Pending";16146;"High Value LLC";5.0;167;0
"07D8peUcKD";"8645 Oak St";"Mary Thomas";"Land";5;3;"N";"Y";5.821;"Columbus";"Ohio";45229;2830;"2020-02-02";327757;"2020-03-11";300138;"Cancel";18845;"M&M Brokerage";4.0;38;0
"08bJ5g8IrF";"568 Cedar Rd";"Michael Anderson";"";1;3;"N";"N";5.748;"Columbus";"Ohio";45234;911;"2020-05-25";341047;"2020-11-09";399671;"Sold";18848;"True Value LLC";5.0;168;19984
"08DjMRnkby";"1396 Lakeview Dr";"Jennifer Brown";"Commercial";2;4;"N";"Y";7.163;"Cincinnati";"Ohio";45201;2206;"2020-08-13";422304;"2020-02-09";286262;"Expire";23092;"M&M Brokerage";5.0;186;0
"0903Qwcr6q";"545 Cedar Rd";"Mary Wilson";"Commercial";1;4;"Y";"N";0.488;"Akron";"Ohio";45215;2882;"2020-01-30";188085;"2020-11-16";443240;"Cancel";16148;"M&M Brokerage";5.0;291;0
"0ACAkTciQ6";"5942 Sunset Blvd";"Elizabeth Johnson";"Land";2;1;"N";"N";7.583;"Columbus";"Ohio";45226;1586;"2020-08-30";413669;"2020-06-03";361384;"Expire";18844;"True Value LLC";4.0;88;0
"0APTZrulez";"6883 Cedar Rd";"William Thomas";"Residential";2;2;"Y";"Y";6.659;"Cincinnati";"Ohio";45215;2607;"2020-05-18";182408;"2020-08-28";382910;"Sold";16148;"Right Value LLC";3.2;102;12253
"0b1XjRpuzb";"3517 Lakeview Dr";"William Lee";"Rental";5;2;"N";"Y";9.065;"Columbus";"Ohio";45223;2169;"2020-09-20";327602;"2020-09-03";442021;"Expire";14132;"Willam Reality";8.0;17;0
"0b6UX9sgyO";"5336 Sunset Blvd";"William Thomas";"Land";2;1;"Y";"Y";0.468;"Akron";"Ohio";45209;2573;"2021-01-12";329353;"2020-04-28";383304;"Cancel";16146;"Right Value LLC";4.0;259;0
